_id,Uid,Техместо,Наименование,Диспетчерское наименование,Класс
65a2361a96b9132bd04d7d82,f67933f2-8ffd-4cd7-90e3-0dba01e6eea6,PS110-000338,ПС 110 кВ КТП НГРЭС,ПС 110 кВ КТП НГРЭС,Substation
65a2361a96b9132bd04d7d83,f709ace5-395c-4efd-b653-87c55980d534,PS110-000028,ПС 110 кВ Баргузин,ПС 110 кВ Баргузин,Substation
65a2361a96b9132bd04d7d84,f7297de0-ee24-4951-9f24-7ae4f9fcb843,PS110-000485,ПС 110 кВ Черниговская,ПС 110 кВ Черниговская,Substation
65a2361a96b9132bd04d7d85,f7a106e7-e738-4c75-ab07-acef3116ef7f,PS110-000236,ПС 110 кВ Панкрушихинская,ПС 110 кВ Панкрушихинская,Substation
65a2361a96b9132bd04d7d86,f7a47af6-6cef-4bba-b9e5-4e9199dfa12c,PS110-000304,ПС 110 кВ Новошипуновская,ПС 110 кВ Новошипуновская,Substation
65a2361a96b9132bd04d7d87,f8033a35-3467-4f34-aeb8-aa27ca17f5f4,PS110-000820,ПС 110 кВ Первая,ПС 110 кВ Первая,Substation
65a2361a96b9132bd04d7d88,f8ef34f7-1862-4cb6-a850-7f58812149fc,PS110-000444,ПС 110 кВ Высокогорская,ПС 110 кВ Высокогорская,Substation
65a2361a96b9132bd04d7d89,f925ac8f-38ff-4490-b955-ddc6be609ea9,PS110-000213,ПС 110 кВ Славгородская,ПС 110 кВ Славгородская,Substation
65a2361a96b9132bd04d7d8a,f93f4042-2fa8-45e6-8131-ad746939dd31,PS110-000014,ПС 110 кВ Манжерокская,ПС 110 кВ Манжерокская,Substation
65a2361a96b9132bd04d7d8b,fa1fccf1-b95f-4899-bbc9-b48c8c5fd3c9,PS110-000537,ПС 110 кВ Карьерная,ПС 110 кВ Карьерная,Substation
65a2361a96b9132bd04d7d8c,fa70eb20-4ac6-4836-9fde-c5c071d80bf2,PS110-001318,ПС 110 кВ Даурия,ПС 110 кВ Даурия,Substation
